时间,开盘,最高,最低,收盘,成交量
1991/12/23,27.7,27.9,27.6,27.8,127000
1991/12/24,27.9,29.3,27,29.05,105000
1991/12/25,29.15,30,29.1,29.3,226900
1991/12/26,29.3,29.3,28,28,191800
1991/12/27,28,28.5,28,28.45,210500
1991/12/28,28.4,29.3,28.4,29.25,111600
1991/12/30,29.3,29.4,28.8,28.8,105900
1992/01/02,29.15,29.4,29,29.15,188600
1992/01/03,29.2,29.3,29,29.1,221200
1992/01/06,29.1,29.8,29.05,29.7,263400
1992/01/07,29.7,30.2,29.55,29.9,293100
1992/01/08,29.8,30.2,29.55,29.65,192800
1992/01/09,29.7,29.8,29.3,29.7,153500
1992/01/10,29.65,29.8,29.5,29.8,152500
1992/01/13,29.8,29.8,29.6,29.65,135300
1992/01/14,29.65,29.65,29,29.2,171100
1992/01/15,29.2,29.4,29,29.1,220500
1992/01/16,29,29,28.55,28.9,126800
1992/01/17,28.9,28.9,28.35,28.8,114300
1992/01/20,28.8,29.5,28.8,29.45,108500
1992/01/21,29.5,29.8,29.2,29.3,157600
1992/01/22,29.25,29.3,28.8,28.95,159200
1992/01/23,28.95,29.3,28.95,29.2,147700
1992/01/24,29.25,29.7,29.05,29.05,232700
1992/01/27,29.55,29.6,29.3,29.4,257100
1992/01/28,29.4,29.5,29.35,29.5,233600
1992/01/29,29.5,30.05,29.5,30,212700
1992/01/30,29.95,30.35,29.95,30.2,173500
1992/02/01,31.15,32,31.15,32,222800
1992/02/02,32,32.7,31.9,32.32,173500
1992/02/10,32.3,32.5,30.9,31.6,164400
1992/02/13,31.9,32,31.8,32,181200
1992/02/14,32,32.1,31.8,31.8,192400
1992/02/18,31.2,31.25,30.7,31,195500
1992/02/19,31,31.2,30.2,31.05,194600
1992/02/20,31,32,31,31,129600
1992/02/21,31.8,31.9,31.6,31.65,171000
1992/02/24,31.65,31.65,30.5,31.1,140500
1992/02/25,31.2,31.2,30.8,30.95,123100
1992/02/26,31,31,30.05,30.55,141900
1992/02/27,30.7,31,30.5,31,203300
1992/02/28,31,31.75,31,31.55,233500
1992/03/02,31.7,32,31.6,31.7,313700
1992/03/03,31.8,31.85,31.55,31.7,315000
1992/03/04,31.8,31.9,31.55,31.75,228800
1992/03/05,31.7,32,31.65,31.95,273300
1992/03/09,32.25,32.9,32.25,32.4,351500
1992/03/10,32.5,32.5,31.9,32.1,228400
1992/03/11,32,32.2,32,32.15,273800
1992/03/12,32.1,32.25,32,32.25,261500
1992/03/13,32.3,32.3,32.15,32.3,317000
1992/03/16,32.45,32.9,32.35,32.8,490100
1992/03/17,32.9,33,32.8,32.85,310600
1992/03/18,32.85,32.95,32.75,32.9,605900
1992/03/19,32.9,32.9,32.6,32.6,228600
1992/03/20,32.75,32.75,32.2,32.45,256300
1992/03/23,21.5,22.05,21.05,21.9,486500
1992/03/24,22,22.1,21.85,22.1,647600
1992/03/25,22.1,23.3,22,23.15,665200
1992/03/27,24.2,24.3,23.5,23.9,731300
1992/03/30,23.9,25.2,23.8,24.9,777200
1992/04/01,26.35,27.05,26.35,26.9,796500
1992/04/02,26.9,27.1,26,26.05,654400
1992/04/03,26.2,26.2,25.3,25.95,623300
1992/04/06,26.1,27.7,26.1,27.5,645600
1992/04/07,27.65,28.5,27,28,872500
1992/04/08,28.15,29.9,28.15,28.95,1315300
1992/04/09,29,29.6,28.4,29.2,910900
1992/04/10,29.35,29.8,29,29.6,767760
1992/04/13,29.75,33.8,29.75,32.95,740900
1992/04/14,33.1,34.5,32.2,32.5,1053200
1992/04/15,32.65,33.5,30.2,30.6,831100
1992/04/16,30.75,33,30.75,32.85,917700
1992/04/17,33,33.1,31.9,32,971400
1992/04/20,32.15,32.5,31,31.55,599300
