,开盘,成交量,收盘,时间,最低,最高,涨跌,涨跌幅,震荡幅
0,27.7,127000,27.8,1991/12/23,27.6,27.9,1,6,1.0791366906474718
1,27.9,105000,29.05,1991/12/24,27,29.3,1,9,7.917383820998281
2,29.15,226900,29.3,1991/12/25,29.1,30,1,7,3.0716723549488005
3,29.3,191800,28,1991/12/26,28,29.3,0,2,4.642857142857145
4,28,210500,28.45,1991/12/27,28,28.5,1,8,1.757469244288225
5,28.4,111600,29.25,1991/12/28,28.4,29.3,1,9,3.076923076923084
6,29.3,105900,28.8,1991/12/30,28.8,29.4,0,3,2.083333333333326
7,29.15,188600,29.15,1992/01/02,29,29.4,1,8,1.3722126929674052
8,29.2,221200,29.1,1992/01/03,29,29.3,0,5,1.0309278350515487
9,29.1,263400,29.7,1992/01/06,29.05,29.8,1,9,2.5252525252525255
10,29.7,293100,29.9,1992/01/07,29.55,30.2,1,7,2.1739130434782563
11,29.8,192800,29.65,1992/01/08,29.55,30.2,0,4,2.192242833052272
12,29.7,153500,29.7,1992/01/09,29.3,29.8,1,6,1.6835016835016836
13,29.65,152500,29.8,1992/01/10,29.5,29.8,1,6,1.0067114093959755
14,29.8,135300,29.65,1992/01/13,29.6,29.8,0,4,0.674536256323775
15,29.65,171100,29.2,1992/01/14,29,29.65,0,3,2.2260273972602693
16,29.2,220500,29.1,1992/01/15,29,29.4,0,5,1.3745704467353903
17,29,126800,28.9,1992/01/16,28.55,29,0,4,1.557093425605534
18,28.9,114300,28.8,1992/01/17,28.35,28.9,0,5,1.9097222222222123
19,28.8,108500,29.45,1992/01/20,28.8,29.5,1,9,2.3769100169779263
20,29.5,157600,29.3,1992/01/21,29.2,29.8,0,4,2.047781569965875
21,29.25,159200,28.95,1992/01/22,28.8,29.3,0,3,1.7271157167530224
22,28.95,147700,29.2,1992/01/23,28.95,29.3,1,7,1.1986301369863062
23,29.25,232700,29.05,1992/01/24,29.05,29.7,0,4,2.237521514629943
24,29.55,257100,29.4,1992/01/27,29.3,29.6,1,8,1.0204081632653086
25,29.4,233600,29.5,1992/01/28,29.35,29.5,1,6,0.5084745762711816
26,29.5,212700,30,1992/01/29,29.5,30.05,1,8,1.8333333333333357
27,29.95,173500,30.2,1992/01/30,29.95,30.35,1,7,1.3245033112582851
28,31.15,222800,32,1992/02/01,31.15,32,1,10,2.6562500000000044
29,32,173500,32.32,1992/02/02,31.9,32.7,1,8,2.4752475247524885
30,32.3,164400,31.6,1992/02/10,30.9,32.5,0,2,5.06329113924051
31,31.9,181200,32,1992/02/13,31.8,32,1,8,0.6249999999999978
32,32,192400,31.8,1992/02/14,31.8,32.1,0,4,0.9433962264150966
33,31.2,195500,31,1992/02/18,30.7,31.25,0,2,1.774193548387099
