开盘,最高,最低,收盘,成交量
7.17,7.22,7.1,7.17,36759072
7.16,7.16,7,7.05,41671024
7.04,7.09,7,7.02,20189692
7.04,7.07,6.99,7.01,18789312
7.01,7.03,6.77,6.91,46728744
6.9,6.93,6.85,6.9,14489561
6.9,7.05,6.88,7.05,21990298
7.03,7.04,6.97,7.03,17956692
6.89,6.95,6.86,6.9,26224400
6.86,6.86,6.66,6.71,35967140
6.7,6.76,6.65,6.75,26201984
6.7,6.82,6.65,6.75,23477322
6.73,6.8,6.69,6.75,23829600
6.75,6.76,6.66,6.66,19004088
6.63,6.68,6.6,6.62,13834258
6.64,6.65,6.46,6.55,20684104
6.49,6.49,6.1,6.23,29387546
6.25,6.25,5.98,6.15,28635656
6.18,6.18,6.04,6.07,17168126
6.02,6.02,5.7,5.75,29455264
5.74,5.84,5.72,5.73,16774278
5.79,5.8,5.71,5.72,16759700
5.72,5.75,5.55,5.65,30506352
5.67,5.75,5.55,5.74,38966816
5.71,5.81,5.69,5.75,29186244
5.75,5.77,5.7,5.72,13173965
5.6,5.69,5.55,5.57,25852020
5.52,5.53,5.45,5.47,20892972
5.47,5.49,5.37,5.38,17055408
5.38,5.52,5.36,5.51,20674364
5.51,5.53,5.41,5.42,13110281
5.36,5.49,5.3,5.47,17964364
5.44,5.52,5.42,5.49,12903505
5.52,5.54,5.47,5.51,8696885
5.49,5.61,5.44,5.61,13817647
5.61,5.63,5.58,5.59,12981934
5.52,5.56,5.47,5.48,11833962
5.5,5.61,5.49,5.56,13663922
5.6,5.62,5.47,5.48,15688877
5.49,5.54,5.3,5.32,17492700
5.3,5.32,5.2,5.3,13368543
5.32,5.42,5.26,5.39,13964385
5.39,5.4,5.3,5.34,12565786
5.39,5.42,5.28,5.3,13877981
5.29,5.3,5.12,5.14,15974055
5.14,5.23,5.07,5.22,11225321
5.26,5.27,5.2,5.23,8666714
5.23,5.27,5.19,5.26,8153526
5.27,5.36,5.23,5.36,19215172
5.34,5.62,5.3,5.59,39942944
5.5,5.54,5.46,5.51,25394740
5.5,5.59,5.43,5.45,15081756
5.46,5.53,5.43,5.51,11034363
5.52,5.68,5.47,5.58,27394000
5.52,5.61,5.52,5.6,15514032
5.65,5.66,5.59,5.59,17804028
5.57,5.7,5.5,5.66,17550464
5.66,5.68,5.59,5.62,14316069
5.63,5.66,5.53,5.59,10428923
5.6,5.64,5.53,5.54,20417052
5.52,5.54,5.37,5.49,20509682
5.48,5.61,5.46,5.6,17895088
5.58,5.63,5.53,5.61,15565150
5.6,5.65,5.55,5.62,15860361
5.63,5.8,5.63,5.71,43217408
5.66,5.71,5.64,5.68,20894808
5.69,5.9,5.67,5.84,32306728
5.8,5.82,5.69,5.73,26053860
5.7,5.77,5.68,5.75,20562312
5.74,5.77,5.65,5.73,18495624
5.71,5.83,5.66,5.81,25456080
5.78,5.93,5.76,5.84,32827526
5.86,5.86,5.75,5.77,19876782
5.8,6.25,5.79,6.17,81678176
6.16,6.46,6.14,6.29,77657336
6.16,6.27,6.12,6.17,40130776
6.12,6.22,6.1,6.11,33048930
6.11,6.33,6.06,6.25,43863808
6.28,6.32,6.12,6.19,32014648
6.15,6.23,6.11,6.17,26620380
6.18,6.23,6.05,6.1,32378558
6.07,6.31,6,6.27,44746592
6.26,6.26,6.14,6.15,30887164
6.16,6.46,6.13,6.39,80259960
6.33,6.43,6.3,6.36,36602952
6.38,6.67,6.37,6.52,68817232
6.6,6.84,6.5,6.8,90771192
6.78,6.84,6.64,6.71,68934848
6.9,7.12,6.82,6.93,98035264
6.82,6.88,6.6,6.66,61570952
6.51,6.52,6.14,6.18,85413920
6.18,6.29,6.12,6.24,34099724
6.19,6.37,6.14,6.31,35030948
6.33,6.37,6.22,6.27,24826300
6.5,6.57,6.32,6.35,38783424
6.25,6.44,6.2,6.39,30875812
6.36,6.52,6.34,6.43,25126034
6.39,6.4,6.29,6.31,24825602
6.3,6.44,6.22,6.39,29700928
6.39,6.39,6.22,6.25,21442094
6.33,6.35,6.25,6.31,17232492
6.27,6.4,6.26,6.37,25618308
6.35,6.37,6.29,6.32,19134002
6.32,6.46,6.28,6.42,28806824
6.47,6.74,6.42,6.62,54746232
6.56,6.84,6.52,6.73,53476304
6.94,6.98,6.72,6.83,70842368
6.81,6.84,6.66,6.71,33843384
6.65,6.92,6.56,6.82,63492168
6.82,6.82,6.63,6.64,35592424
6.6,6.69,6.43,6.52,36419956
6.46,6.64,6.43,6.6,25416470
6.55,6.64,6.54,6.63,26643198
6.63,6.77,6.6,6.75,33610472
6.76,6.98,6.72,6.84,75596872
6.79,6.87,6.68,6.7,43485040
6.58,6.68,6.51,6.67,36266560
6.61,6.84,6.55,6.75,32240612
6.72,6.78,6.63,6.76,21869222
6.76,6.77,6.59,6.6,27066500
6.57,6.63,6.52,6.56,24961786
6.55,6.57,6.32,6.35,21076100
6.35,6.46,6.34,6.41,12529700
6.42,6.57,6.41,6.53,12788612
6.42,6.6,6.39,6.46,19916768
6.45,6.49,6.39,6.43,15961695
6.51,6.54,6.45,6.53,12704166
6.52,6.63,6.48,6.56,19760224
6.55,6.91,6.46,6.63,42249544
6.53,6.58,6.48,6.55,18947630
6.54,6.69,6.52,6.68,22175944
6.7,6.82,6.57,6.58,30646014
6.5,6.56,6.35,6.44,24264692
6.44,6.75,6.39,6.45,25752320
6.38,6.43,6.22,6.24,23660692
6.25,6.49,6.22,6.48,20525400
6.5,6.5,6.3,6.34,18538492
6.35,6.38,6.3,6.34,9394451
6.32,6.46,6.32,6.38,12222100
6.37,6.44,6.34,6.4,11998118
6.4,6.44,6.36,6.38,12871940
6.4,6.42,6.18,6.2,15590500
6.23,6.27,6.13,6.2,13395964
6.22,6.33,6.21,6.27,13824998
6.27,6.3,6.14,6.2,10522485
6.21,6.22,6.12,6.16,10119594
6.17,6.29,6.17,6.25,13660997
6.26,6.36,6.22,6.31,12400102
6.29,6.36,6.26,6.32,11583937
6.32,6.45,6.29,6.38,16921140
6.38,6.42,6.3,6.3,10634778
6.3,6.34,6.27,6.31,10602913
6.3,6.35,6.11,6.12,24094252
6.04,6.04,5.87,5.93,24954170
5.93,5.94,5.73,5.75,16194305
5.77,5.81,5.58,5.61,17505022
5.61,5.76,5.59,5.75,11896022
5.78,5.8,5.68,5.7,8689745
5.7,5.74,5.65,5.73,8879284
5.74,5.78,5.61,5.62,11216088
5.64,5.69,5.59,5.61,9541156
5.61,5.63,5.5,5.52,10841259
5.52,5.58,5.48,5.58,6754743
5.58,5.83,5.57,5.73,22436874
5.71,5.76,5.58,5.64,14853417
5.64,5.75,5.6,5.72,14995384
5.8,5.85,5.69,5.73,12959136
5.74,5.78,5.5,5.59,13427857
5.56,5.66,5.52,5.65,8445589
5.65,5.66,5.58,5.59,8831746
5.57,5.62,5.55,5.59,9887601
5.62,5.65,5.58,5.65,12054638
5.66,5.7,5.62,5.66,10981878
5.64,5.67,5.59,5.65,8505298
5.66,5.73,5.63,5.64,16248498
5.65,5.79,5.58,5.71,26231160
5.74,5.76,5.6,5.64,15273989
5.62,5.73,5.6,5.68,8898569
5.7,5.72,5.53,5.58,14451824
5.6,5.6,5.48,5.51,13487869
5.55,5.55,5.49,5.53,11383014
5.53,5.55,5.46,5.55,16555227
5.54,5.55,5.47,5.54,12531364
5.54,5.59,5.51,5.53,14113173
5.51,5.57,5.48,5.54,14668915
5.53,5.56,5.51,5.55,8624676
5.56,5.65,5.54,5.65,18576964
5.62,5.72,5.62,5.69,18969176
5.68,5.78,5.64,5.75,18446800
5.75,5.94,5.75,5.83,24907920
5.84,5.95,5.82,5.91,19351004
5.86,5.93,5.82,5.86,11482563
5.86,5.88,5.8,5.88,13257930
5.85,6.06,5.79,5.94,22119548
5.9,5.96,5.78,5.81,16830188
5.82,5.84,5.7,5.74,13026973
5.87,6.09,5.86,6.05,54165568
6,6.35,5.94,6.08,58313004
6.06,6.14,5.96,6.04,23930568
6.02,6.03,5.89,5.92,21033720
5.93,5.99,5.87,5.98,11013159
5.97,6.18,5.93,6.08,36330472
6.04,6.08,5.92,6.01,18937426
5.99,6.07,5.97,6.02,15436751
6,6.14,6,6.11,25889138
6.17,6.56,6.12,6.42,86624192
6.42,6.6,6.32,6.5,53256296
6.05,6.23,5.85,5.85,71143560
5.85,5.94,5.5,5.56,45323832
5.55,5.57,5.25,5.5,28922140
5.45,5.69,5.35,5.56,21992420
5.4,5.46,5,5.01,37269156
5.17,5.25,4.95,5.08,29030394
5.06,5.2,5.05,5.15,13221239
5.03,5.08,4.8,4.98,24406036
4.98,5.14,4.98,5.11,10798458
5.15,5.21,5.09,5.14,12513634
5.16,5.65,5.12,5.65,33219364
5.78,6.06,5.64,5.81,49296064
5.8,5.8,5.65,5.74,22385176
5.86,5.92,5.74,5.8,26407762
5.79,5.9,5.68,5.89,27198792
5.86,5.97,5.77,5.84,25502392
5.78,6.08,5.74,5.96,37818692
5.89,5.92,5.78,5.89,19574472
5.84,6.02,5.84,5.92,22096938
5.95,5.97,5.83,5.95,18911608
5.94,6.25,5.89,6.05,46093552
6,6.02,5.93,5.98,19350964
5.99,6,5.92,5.95,18320048
5.94,5.98,5.87,5.95,23462756
5.91,6.03,5.86,6,31907998
5.96,6.14,5.96,6.04,34935560
6,6.06,5.87,5.93,21892892
5.93,5.95,5.84,5.85,14186415
5.82,5.82,5.32,5.43,44394896
5.34,5.52,5.33,5.52,14332994
5.52,5.77,5.5,5.58,22827954
5.61,5.68,5.59,5.62,13807025
